Username , Engagement , Followers , Reach , Price Per User 
dog_feelingsig , 0.161  , 470000 , 75670.0 , 0.0009250693802035153 
doggoomemes , 0.0805  , 181000 , 14570.5 , 0.003088432105967537 
doggosdoingthings , 0.0086  , 2000000 , 17200.0 , 0.05813953488372093 
Verified , 0.353  , 303 , 106.95899999999999 , 0.1402406529604802 
dogsbeingbasic , 0.025099999999999997  , 1000000 , 25099.999999999996 , 0.03984063745019921 
Verified , 0.353  , 303 , 106.95899999999999 , 0.1402406529604802 
thedogist , 0.0032  , 3000000 , 9600.0 , 0.10416666666666667 
Verified , 0.353  , 303 , 106.95899999999999 , 0.1402406529604802 
Verified , 0.353  , 303 , 106.95899999999999 , 0.1402406529604802 
tuckerbudzyn , 0.0123  , 2000000 , 24600.0 , 0.04065040650406504 
Verified , 0.353  , 303 , 106.95899999999999 , 0.1402406529604802 
hilarious_petss , 0.058499999999999996  , 148000 , 8658.0 , 0.0028875028875028877 
upsdogs , 0.0483  , 645000 , 31153.5 , 0.03209912208901087 
weratedogs , 0.0322  , 1000000 , 32200.0 , 0.031055900621118012 
Verified , 0.353  , 303 , 106.95899999999999 , 0.1402406529604802 
dogsarethefunniest , 0.09759999999999999  , 210000 , 20496.0 , 0.002195550351288056 
okzoey , 0.111  , 60000 , 6660.0 , 0.0037537537537537537 
Verified , 0.353  , 303 , 106.95899999999999 , 0.1402406529604802 
officialdogfather , 0.0701  , 39000 , 2733.8999999999996 , 0.00548666739822232 
thegoldenratio4 , 0.122  , 87000 , 10614.0 , 0.0023553796872055775 
honestpupper , 0.298  , 26000 , 7748.0 , 0.0019359834796076408 
cattosbeingcattos , 0.0874  , 11000 , 961.4000000000001 , 0.015602246723528187 
barked , 0.0051  , 4000000 , 20400.0 , 0.049019607843137254 
Verified , 0.353  , 303 , 106.95899999999999 , 0.1402406529604802 
coconutricebear , 0.015300000000000001  , 430000 , 6579.000000000001 , 0.010639914880680954 
Verified , 0.353  , 303 , 106.95899999999999 , 0.1402406529604802 
doggomemes__ , 0.0227  , 138000 , 3132.6000000000004 , 0.007980591202196258 
mytherapistsays , 0.0187  , 4000000 , 74800.0 , 0.013368983957219251 
Verified , 0.353  , 303 , 106.95899999999999 , 0.1402406529604802 
betches , 0.0023  , 7000000 , 16100.0 , 0.062111801242236024 
Verified , 0.353  , 303 , 106.95899999999999 , 0.1402406529604802 
beigecardigan , 0.021  , 3000000 , 63000.00000000001 , 0.015873015873015872 
Verified , 0.353  , 303 , 106.95899999999999 , 0.1402406529604802 
thefatjewish , 0.0263  , 11000000 , 289300.0 , 0.0034566194262011752 
Verified , 0.353  , 303 , 106.95899999999999 , 0.1402406529604802 
shitheadsteve , 0.0159  , 5000000 , 79500.0 , 0.012578616352201259 
Verified , 0.353  , 303 , 106.95899999999999 , 0.1402406529604802 
unpopulardogs , 0.071  , 125000 , 8875.0 , 0.0028169014084507044 
dogep0st , 0.0466  , 130000 , 6058.0 , 0.004126774513040607 
idogmemes , 0.029900000000000003  , 51000 , 1524.9 , 0.01639451767329005 
shop.onlydogz , 0.146  , 36000 , 5256.0 , 0.0028538812785388126 
hilarious.dogos , 0.0555  , 24000 , 1332.0 , 0.01126126126126126 
pupperish , 0.0669  , 102000 , 6823.8 , 0.003663647820862276 
kristenanniebell , 0.0098  , 13000000 , 127400.0 , 0.007849293563579277 
Verified , 0.353  , 303 , 106.95899999999999 , 0.1402406529604802 
Verified , 0.353  , 303 , 106.95899999999999 , 0.1402406529604802 
chrissyteigen , 0.0152  , 29000000 , 440800.0 , 0.002268602540834846 
Verified , 0.353  , 303 , 106.95899999999999 , 0.1402406529604802 
wolfgang2242 , 0.07629999999999999  , 1000000 , 76300.0 , 0.01310615989515072 
Verified , 0.353  , 303 , 106.95899999999999 , 0.1402406529604802 
myfavoritemurder , 0.0252  , 881000 , 22201.2 , 0.045042610309352644 
Verified , 0.353  , 303 , 106.95899999999999 , 0.1402406529604802 
